카테고리,채널명,구독자수,조회수,영상수
음악/댄스/가수,Dreamcatcher official,"1,250,000","317,310,000",380
음악/댄스/가수,2PM,"1,250,000","361,190,000",411
음식/요리/레시피,취미로 요리하는 남자 Yonam,"1,250,000","103,630,000",68
스포츠/운동,Shoot for Love 슛포러브,"1,250,000","663,910,000",727
게임,악어 유튜브,"1,240,000","1,382,290,000","6,338"
영화/만화/애니,김시선,"1,240,000","392,200,000",371
게임,우왁굳의 게임방송,"1,230,000","978,630,000","7,277"
TV/방송,피키픽처스 Piki Pictures,"1,230,000","449,010,000",569
교육/강의,seemile Korean 씨마일 한국어,"1,220,000","89,950,000","1,100"
TV/방송,14F 일사에프,"1,220,000","387,010,000","2,259"
TV/방송,eaJ,"1,220,000","48,190,000",31
애완/반려동물,크집사,"1,220,000","193,110,000",292
음식/요리/레시피,파뿌리,"1,220,000","1,028,820,000","1,330"
BJ/인물/연예인,임영웅,"1,210,000","984,840,000",573
TV/방송,놀면 뭐하니?,"1,210,000","426,900,000",581
뉴스/정치/사회,채널A 뉴스,"1,210,000","1,443,610,000","61,275"
교육/강의,Talk To Me In Korean,"1,210,000","58,460,000","1,697"
음식/요리/레시피,스윗더미 . Sweet The MI,"1,210,000","116,860,000",318
음악/댄스/가수,official A.C.E,"1,210,000","158,890,000",549
BJ/인물/연예인,턱형 (GOD-TUK),"1,200,000","423,790,000",529
게임,우주하마,"1,200,000","601,480,000","1,802"
취미/라이프,휘트니 whitney bae,"1,200,000","300,710,000",317
게임,테스터훈 TesterHoon,"1,200,000","771,330,000","2,307"
음식/요리/레시피,DICKHUNTER딕헌터🌶,"1,200,000","297,660,000",378
패션/미용,다또아Daddoa,"1,190,000","92,410,000",185
BJ/인물/연예인,Lia Kim,"1,190,000","66,010,000",53
패션/미용,회사원A,"1,190,000","387,080,000",506
BJ/인물/연예인,수상한녀석들,"1,190,000","245,730,000",167
음악/댄스/가수,SEVENTEEN Japan official Youtube,"1,180,000","188,790,000",107
TV/방송,Coreaníssima 엘레나,"1,180,000","77,210,000",168
음악/댄스/가수,MOVE Dance Studio,"1,180,000","240,710,000","2,367"
게임,침착맨,"1,180,000","693,390,000","5,891"
미분류,INTHESOOP_TV,"1,170,000","19,070,000",13
TV/방송,sNack!,"1,170,000","906,510,000","1,857"
음악/댄스/가수,TJ KARAOKE TJ 노래방 공식 유튜브채널,"1,170,000","1,330,620,000","55,205"
TV/방송,잼스터,"1,170,000","326,440,000",360
BJ/인물/연예인,ondo온도,"1,170,000","114,580,000",170
뉴스/정치/사회,사람사는세상노무현재단,"1,170,000","118,840,000",803
TV/방송,달라스튜디오,"1,160,000","129,540,000",78
영화/만화/애니,PLAYY ANI 플레이애니,"1,160,000","469,110,000",630
TV/방송,오분순삭,"1,150,000","1,185,050,000","1,521"
음악/댄스/가수,DaftTaengk,"1,150,000","672,810,000","5,280"
TV/방송,CJ ENM,"1,150,000","1,743,470,000","14,900"
BJ/인물/연예인,소련여자 Soviet girl in Seoul,"1,140,000","154,070,000",100
TV/방송,그것이 알고싶다 공식계정,"1,140,000","289,860,000",519
키즈/어린이,미니카 Minicar,"1,140,000","664,000,000","1,649"
취미/라이프,Squash Clay 쪼물쪼물 클레이,"1,140,000","195,180,000",453
교육/강의,조승연의 탐구생활,"1,130,000","79,490,000",196
음식/요리/레시피,우리의식탁 W TABLE,"1,130,000","85,480,000",348
BJ/인물/연예인,Cheri Hyeri 체리 혜리,"1,130,000","156,670,000",360
음식/요리/레시피,이 남자의 cook,"1,120,000","200,940,000",529
음식/요리/레시피,야식이,"1,120,000","393,380,000","1,211"
TV/방송,KBS CoolFM,"1,120,000","535,680,000","8,273"
음악/댄스/가수,CLC 씨엘씨 (Official YouTube Channel),"1,120,000","219,540,000",187
음악/댄스/가수,YGTAEYANG,"1,120,000","60,810,000",26
TV/방송,한문철 TV,"1,120,000","977,880,000","12,977"
TV/방송,오킹TV,"1,120,000","423,640,000","1,222"
TV/방송,티캐스트 tcast,"1,120,000","1,283,390,000","9,333"
영화/만화/애니,Tooniverse-투니버스,"1,120,000","785,350,000","3,820"
음식/요리/레시피,야식이,"1,120,000","393,380,000","1,211"
음식/요리/레시피,애주가TV참PD,"1,120,000","507,750,000","1,095"
애완/반려동물,haha ha,"1,120,000","377,350,000",418
미분류,디글 :Diggle,"1,110,000","2,158,250,000","13,179"
음식/요리/레시피,먹어볼래TryToEat,"1,110,000","160,310,000",195
뉴스/정치/사회,TBS 시민의방송,"1,110,000","880,710,000","34,698"
음식/요리/레시피,맛있는 녀석들 (Tasty Guys),"1,110,000","1,206,240,000","3,059"
국내/해외/여행,코이티비KOITV,"1,110,000","712,200,000","1,225"
미분류,SiriusXM,"1,100,000","704,720,000","6,105"
음악/댄스/가수,강다니엘 KANGDANIEL,"1,100,000","176,640,000",113
게임,혜안,"1,100,000","396,290,000",753
게임,릴카,"1,100,000","380,620,000",882
회사/오피셜,미스&미스터트롯 공식계정,"1,090,000","827,950,000","3,027"
음식/요리/레시피,BenDeen,"1,090,000","138,470,000",286
키즈/어린이,woojoo우주,"1,090,000","359,030,000",85
음악/댄스/가수,PLEDIS ENTERTAINMENT,"1,090,000","276,150,000",250
TV/방송,뻑가 PPKKa,"1,090,000","642,020,000",718
음악/댄스/가수,UPVOTE Entertainment,"1,090,000","258,150,000","1,293"
취미/라이프,rappeler하쁠리,"1,090,000","420,270,000",679
주식/경제/부동산,[삼성증권] Samsung POP,"1,080,000","108,480,000",909
TV/방송,V LIVE,"1,080,000","630,820,000","2,774"
TV/방송,Dingo K-Drama,"1,080,000","195,940,000",411
취미/라이프,효기심,"1,080,000","132,310,000",176
키즈/어린이,마이린 TV,"1,080,000","734,770,000","2,258"
BJ/인물/연예인,성수커플 - S.S Couple,"1,080,000","323,200,000",386
주식/경제/부동산,미래에셋 스마트머니,"1,070,000","90,490,000","1,074"
애완/반려동물,정브르,"1,070,000","488,540,000","1,491"
미분류,MayTree,"1,060,000","121,130,000",139
음악/댄스/가수,CNBLUE (씨엔블루),"1,060,000","212,250,000",181
TV/방송,SK telecom,"1,060,000","884,520,000","2,305"
